nome;período;homicidios-negros;homicidios-mulheres;homicidios-nao-negros;homicidios-de-jovens;homicidios-homens;homicidios-homens-nao-negros;homicidios-de-jovens-homens;homicidios-de-homens-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios-mulheres-negras;homicidios;homicidios-de-jovens-mulheres;homicidios-mulheres-nao-negras;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-por-armas-de-fogo
AP;1991;;5.0;;30.0;49.0;;28;17.0;9.0;;54.0;2;;;2.0;19
BA;1991;;64.0;;266.0;528.0;;236;245.0;128.0;;596.0;29;;;20.0;266
CE;1991;;53.0;;303.0;554.0;;281;227.0;139.0;;607.0;22;;;15.0;242
DF;1991;;52.0;;293.0;437.0;;272;291.0;209.0;;489.0;21;;;23.0;314
ES;1991;;95.0;;413.0;872.0;;377;440.0;229.0;;968.0;36;;;32.0;473
GO;1991;;110.0;;397.0;741.0;;346;396.0;222.0;;852.0;51;;;44.0;440
MA;1991;;54.0;;227.0;416.0;;200;182.0;118.0;;470.0;27;;;21.0;203
MG;1991;;159.0;;541.0;1071.0;;480;472.0;269.0;;1232.0;60;;;43.0;516
MS;1991;;47.0;;167.0;338.0;;142;191.0;106.0;;388.0;24;;;24.0;218
MT;1991;;49.0;;172.0;403.0;;146;201.0;98.0;;452.0;26;;;26.0;227
PA;1991;;72.0;;380.0;737.0;;344;448.0;232.0;;810.0;36;;;42.0;491
PB;1991;;40.0;;183.0;361.0;;170;158.0;79.0;;401.0;13;;;22.0;180
PE;1991;;232.0;;1426.0;2706.0;;1325;1878.0;1046.0;;2944.0;100;;;125.0;2008
PI;1991;;11.0;;43.0;92.0;;37;28.0;15.0;;103.0;6;;;3.0;31
PR;1991;;149.0;;519.0;1073.0;;459;510.0;266.0;;1225.0;60;;;52.0;562
RJ;1991;;370.0;;2640.0;4672.0;;2484;3736.0;2207.0;;5055.0;154;;;235.0;3979
RN;1991;;17.0;;119.0;202.0;;110;103.0;65.0;;219.0;9;;;6.0;109
RO;1991;;33.0;;196.0;455.0;;184;247.0;108.0;;491.0;11;;;17.0;265
RR;1991;;9.0;;33.0;70.0;;28;15.0;9.0;;79.0;5;;;3.0;18
RS;1991;;156.0;;823.0;1538.0;;755;1031.0;573.0;;1694.0;68;;;86.0;1117
SC;1991;;38.0;;147.0;317.0;;131;148.0;82.0;;355.0;16;;;17.0;165
SE;1991;;21.0;;131.0;287.0;;118;168.0;4677.0;;317.0;13;;;8.0;179
SP;1991;;789.0;;5601.0;8896.0;;5227;2912.0;1972.0;;9685.0;374;;;226.0;3138
TO;1991;;9.0;;33.0;83.0;;30;43.0;17.0;;92.0;3;;;3.0;46
AC;1992;;13.0;;61.0;94.0;;51;46.0;34.0;;107.0;10;;;7.0;53
AL;1992;;53.0;;243.0;538.0;;219;267.0;131.0;;591.0;24;;;17.0;284
AM;1992;;26.0;;178.0;321.0;;170;157.0;81.0;;351.0;8;;;7.0;168
AP;1992;;4.0;;43.0;69.0;;41;35.0;24.0;;73.0;2;;;3.0;38
BA;1992;;79.0;;405.0;758.0;;369;401.0;237.0;;840.0;36;;;26.0;428
CE;1992;;42.0;;265.0;493.0;;244;187.0;102.0;;537.0;20;;;14.0;202
DF;1992;;40.0;;245.0;384.0;;231;255.0;172.0;;424.0;14;;;16.0;271
ES;1992;;85.0;;361.0;751.0;;322;349.0;196.0;;839.0;39;;;31.0;381
GO;1992;;125.0;;340.0;703.0;;288;361.0;189.0;;828.0;52;;;56.0;417
MA;1992;;30.0;;162.0;395.0;;149;192.0;74.0;;427.0;13;;;15.0;209
MG;1992;;154.0;;481.0;972.0;;418;435.0;231.0;;1131.0;62;;;51.0;488
MS;1992;;58.0;;181.0;365.0;;153;206.0;107.0;;423.0;28;;;29.0;235
MT;1992;;35.0;;144.0;316.0;;126;144.0;70.0;;355.0;17;;;11.0;158
PA;1992;;56.0;;353.0;701.0;;325;436.0;221.0;;759.0;27;;;31.0;468
PB;1992;;36.0;;165.0;319.0;;150;194.0;101.0;;355.0;15;;;24.0;218
PE;1992;;171.0;;1093.0;2352.0;;1013;1621.0;794.0;;2531.0;75;;;93.0;1719
PI;1992;;10.0;;41.0;82.0;;37;28.0;15.0;;92.0;4;;;2.0;30
PR;1992;;116.0;;486.0;971.0;;440;507.0;269.0;;1092.0;42;;;47.0;554
RJ;1992;;319.0;;2257.0;4212.0;;2132;3358.0;1896.0;;4536.0;125;;;219.0;3580
RN;1992;;15.0;;92.0;184.0;;85;101.0;57.0;;199.0;7;;;9.0;110
RO;1992;;35.0;;140.0;360.0;;121;215.0;89.0;;395.0;19;;;14.0;229
RR;1992;;9.0;;47.0;86.0;;43;47.0;23.0;;95.0;4;;;5.0;52
RS;1992;;161.0;;740.0;1409.0;;678;934.0;516.0;;1570.0;62;;;101.0;1035
SC;1992;;50.0;;157.0;311.0;;145;141.0;74.0;;361.0;12;;;10.0;151
SE;1992;;28.0;;212.0;420.0;;199;295.0;4164.0;;461.0;9;;;7.0;312
SP;1992;;644.0;;5285.0;8472.0;;5002;2794.0;1841.0;;9116.0;283;;;161.0;2955
TO;1992;;5.0;;23.0;60.0;;21;37.0;14.0;;67.0;2;;;3.0;40
AC;1993;;12.0;;66.0;101.0;;62;55.0;36.0;;116.0;3;;;5.0;61
AL;1993;;50.0;;238.0;569.0;;223;322.0;147.0;;619.0;15;;;29.0;351
AM;1993;;33.0;;186.0;316.0;;169;161.0;96.0;;350.0;17;;;10.0;172
AP;1993;;5.0;;36.0;61.0;;34;37.0;26.0;;66.0;2;;;2.0;39
BA;1993;;120.0;;825.0;1364.0;;775;945.0;618.0;;1503.0;46;;;54.0;1013
CE;1993;;61.0;;360.0;640.0;;330;249.0;164.0;;702.0;30;;;21.0;270
DF;1993;;49.0;;319.0;503.0;;296;335.0;234.0;;553.0;23;;;27.0;362
ES;1993;;101.0;;516.0;995.0;;466;522.0;295.0;;1098.0;50;;;33.0;555
GO;1993;;96.0;;317.0;636.0;;266;327.0;188.0;;734.0;51;;;47.0;375
MA;1993;;33.0;;165.0;359.0;;150;161.0;68.0;;394.0;15;;;10.0;173
MG;1993;;181.0;;533.0;1028.0;;472;466.0;281.0;;1211.0;61;;;68.0;535
MS;1993;;39.0;;180.0;413.0;;165;236.0;113.0;;457.0;14;;;18.0;257
MT;1993;;31.0;;158.0;325.0;;138;159.0;81.0;;356.0;20;;;11.0;170
PA;1993;;46.0;;290.0;577.0;;269;345.0;169.0;;623.0;21;;;20.0;365
PB;1993;;26.0;;168.0;337.0;;157;192.0;94.0;;365.0;10;;;13.0;205
PE;1993;;218.0;;1416.0;2543.0;;1318;1774.0;1090.0;;2763.0;96;;;118.0;1893
